                                        title                                        | year | rating | num_ratings | count 
 Ask the Dust                                                                        | 2006 |    2.8 |       14077 |     2
 Assault on Precinct 13                                                              | 2005 |    3.1 |       12635 |     2
 A Star Is Born                                                                      | 1937 |      0 |           0 |     2
 Asylum                                                                              | 2008 |    2.2 |        1071 |     2
 A Tale of Two Cities                                                                | 1958 |      0 |           0 |     2
 August Rush                                                                         | 2007 |      4 |      105941 |     4
 Auto Focus                                                                          | 2002 |    3.2 |        1283 |     2
 Babe                                                                                | 1995 |      3 |       22954 |     2
 Babes in Toyland                                                                    | 1934 |    3.6 |         865 |     2
 Back to the Future                                                                  | 1985 |    3.8 |      126816 |     2
 Bad Boys                                                                            | 1995 |    3.5 |       67658 |     2
 Bad Company                                                                         | 2002 |    2.8 |        6415 |     3
 Bad Day at Black Rock                                                               | 1955 |    3.9 |        1420 |     2
 Balls of Fury                                                                       | 2007 |    2.8 |       85682 |     3
 Bandits                                                                             | 2001 |    3.1 |        9238 |     2
 Bangkok Dangerous                                                                   | 2008 |    2.8 |       23793 |     2
 Barbershop 2: Back in Business                                                      | 2004 |    3.1 |        7601 |     2
 Basic Instinct 2                                                                    | 2006 |    2.5 |       28208 |     2
 Batman                                                                              | 1966 |      3 |       13951 |     2
 Beautiful Boxer                                                                     | 2003 |    3.9 |         879 |     2
 Bedazzled                                                                           | 2000 |    2.7 |       15017 |     2
 Before Sunset                                                                       | 2004 |      4 |       20750 |     2
 Being Julia                                                                         | 2004 |    3.5 |        1947 |     2
 Believers                                                                           | 2007 |      0 |           0 |     2
 Ben-Hur                                                                             | 1959 |    3.7 |       25817 |     2
 Benji the Hunted                                                                    | 1987 |      0 |           0 |     2
 Best of the Best 3: No Turning Back                                                 | 1995 |      0 |           0 |     2
 Beyond the Valley of the Dolls                                                      | 1970 |      0 |           0 |     2
 Big                                                                                 | 1988 |    3.4 |       33658 |     2
 Bill & Ted's Bogus Journey                                                          | 1991 |      3 |       17201 |     2
 Black Beauty                                                                        | 1994 |      0 |           0 |     2
 Black Christmas                                                                     | 2006 |      0 |           0 |     2
 Black Moon Rising                                                                   | 1986 |    2.8 |        1020 |     2
 Black Robe                                                                          | 1991 |    3.3 |        1641 |     2
 Black Sheep                                                                         | 2006 |    3.2 |       19454 |     2
 Blade                                                                               | 1998 |    3.6 |       87683 |     2
 Blind Date                                                                          | 1987 |    2.9 |        2983 |     2
 Blindness                                                                           | 2008 |    3.1 |       17761 |     2
 Bloody Sunday                                                                       | 2002 |      4 |        2812 |     2
 Blueberry                                                                           | 2004 |      0 |           0 |     2
 Blue Collar Comedy Tour: The Movie                                                  | 2003 |    3.6 |        6829 |     2
 Body of Lies                                                                        | 2008 |    3.5 |       38376 |     2
 Boogeyman                                                                           | 2005 |    2.5 |       13866 |     2
 Boomerang                                                                           | 1992 |    2.8 |        4751 |     2
 Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan | 2006 |    3.4 |      141091 |     2
 Born Yesterday                                                                      | 1950 |    3.9 |        1132 |     2
 Bottle Shock                                                                        | 2008 |    3.3 |        4827 |     2
 Boy A                                                                               | 2007 |    3.5 |        5895 |     3
 Boy Meets Girl                                                                      | 1984 |      0 |           0 |     2
 Bride of Chucky                                                                     | 1998 |    2.6 |       20874 |     2
 Britannia Hospital                                                                  | 1982 |      0 |           0 |     2
 Broken English                                                                      | 2007 |    3.4 |       14630 |     2
 Buddy                                                                               | 1997 |    2.8 |        1106 |     2
 Bug                                                                                 | 2006 |    2.5 |      168834 |     2
 Bulletproof Monk                                                                    | 2003 |    2.9 |       13789 |     2
 Burn After Reading                                                                  | 2008 |    3.4 |       71248 |     2
 Cabin Fever                                                                         | 2002 |    2.6 |       15690 |     2
 Caché                                                                               | 2005 |    3.5 |       16387 |     2
 Calendar Girls                                                                      | 2003 |    3.1 |        8453 |     3
 Candy                                                                               | 2006 |    3.8 |        9542 |     2
 Cape Fear                                                                           | 1991 |    3.4 |       13943 |     3
 Carrie                                                                              | 1976 |    3.3 |       23161 |     2
 Casino Royale                                                                       | 2006 |    3.9 |      155430 |     2
 Cat People                                                                          | 1982 |      3 |        2400 |     2
 Changeling                                                                          | 2008 |    3.8 |       63438 |     2
 Chaos                                                                               | 2005 |      0 |           0 |     2
 Charlie and the Chocolate Factory                                                   | 2005 |      0 |           0 |     3
 Charlie's Angels: Full Throttle                                                     | 2003 |      3 |       33126 |     2
 Charlotte's Web                                                                     | 2006 |    3.3 |       39179 |     2
 Cheaper by the Dozen                                                                | 2003 |    3.1 |       62198 |     2
 Children of Men                                                                     | 2006 |    3.7 |      127695 |     2
 Chocolat                                                                            | 2000 |    3.6 |       62492 |     2
 Chun gwong cha sit                                                                  | 1997 |    4.1 |        4907 |     2
 Cinderella                                                                          | 1950 |    3.5 |       63946 |     2
 City Lights                                                                         | 1931 |    4.3 |        7937 |     2
 Clifford's Really Big Movie                                                         | 2004 |      3 |         524 |     2
 Cloak & Dagger                                                                      | 1984 |      0 |           0 |     2
 Cobra                                                                               | 1986 |    2.7 |        5821 |     2
 College                                                                             | 2008 |    2.8 |       10667 |     2
 Communion                                                                           | 1976 |      0 |           0 |     2
 Conspiracy                                                                          | 2008 |    2.5 |         968 |     2
 Contact                                                                             | 1997 |    3.1 |       19572 |     2
 Cookie's Fortune                                                                    | 1999 |    3.2 |        1364 |     2
 Cool Hand Luke                                                                      | 1967 |    4.1 |       17521 |     2
 Courage Under Fire                                                                  | 1996 |    3.2 |        6918 |     2
 Cousins                                                                             | 1989 |    3.1 |         644 |     2
 Coyote Ugly                                                                         | 2000 |    3.2 |       65988 |     2
 Crash                                                                               | 2004 |      4 |       98746 |     3
 Crazy Love                                                                          | 2007 |    3.6 |        2624 |     2
 CrissCross                                                                          | 1992 |      0 |           0 |     2
 Crossroads                                                                          | 2002 |    2.2 |       15071 |     2
 Crush                                                                               | 2001 |        |             |     3
 Cursed                                                                              | 2005 |      0 |           0 |     2
 Dances with Wolves                                                                  | 1990 |    3.6 |       28000 |     2
 Dangerous Liaisons                                                                  | 1988 |    3.7 |       11359 |     2
 Dan in Real Life                                                                    | 2007 |    3.5 |      112489 |     2
 Darkness Falls                                                                      | 2003 |    2.8 |       11135 |     2
 Da wan                                                                              | 2001 |    3.6 |         201 |     2
 Dawn of the Dead                                                                    | 2004 |    3.4 |       49706 |     3
 Dead End                                                                            | 2003 |      0 |           0 |     2
 Dead Poets Society                                                                  | 1989 |    3.8 |       56733 |     2
 Dead Ringers                                                                        | 1988 |    3.6 |        4690 |     2
 Death Race                                                                          | 2008 |    3.5 |       50505 |     2
 Death Wish                                                                          | 1974 |    3.3 |        4245 |     2
 Deep Blue Sea                                                                       | 1999 |    2.8 |       26286 |     2
 Deep Impact                                                                         | 1998 |    2.9 |       28624 |     2
 Deja Vu                                                                             | 2006 |      0 |           0 |     2
 Delta Force 2: The Colombian Connection                                             | 1990 |    2.9 |        1781 |     2
 Der Himmel über Berlin                                                              | 1987 |    4.4 |        9110 |     2
 Die Büchse der Pandora                                                              | 1929 |    4.1 |        1316 |     2
 Die Hard                                                                            | 1988 |    3.9 |       99625 |     2
 DOA: Dead or Alive                                                                  | 2006 |    2.7 |       71044 |     4
 Doctor Dolittle                                                                     | 1998 |    2.8 |       23847 |     2
 Dolls                                                                               | 2002 |    4.2 |        3709 |     2
 Don't Be a Menace to South Central While Drinking Your Juice in the Hood            | 1996 |      0 |           0 |     2
 Dracula                                                                             | 1931 |    3.6 |        8598 |     3
 Dreamer: Inspired by a True Story                                                   | 2005 |    3.6 |       21404 |     2
 Dressed to Kill                                                                     | 1946 |      0 |           0 |     2
 Dr. Jekyll and Mr. Hyde                                                             | 2008 |      0 |           0 |     3
 Dr. Mabuse, der Spieler - Ein Bild der Zeit                                         | 1922 |    4.1 |         721 |     2
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb                | 1964 |    4.2 |       33662 |     2
 Dune                                                                                | 1984 |    3.4 |       17715 |     2
 Duo luo tian shi                                                                    | 1995 |      4 |        4014 |     2
 "Earth: Final Conflict"                                                             | 1997 |        |             |     2
 Eastern Promises                                                                    | 2007 |    3.8 |       66267 |     2
 East of Eden                                                                        | 1955 |      4 |        5957 |     2
 Eight Below                                                                         | 2006 |    3.4 |       27593 |     2
 Elizabeth: The Golden Age                                                           | 2007 |    3.3 |       74366 |     2
 Employee of the Month                                                               | 2006 |    3.2 |       54090 |     2
 Enchanted                                                                           | 2007 |    3.8 |      188655 |     3
 Enigma                                                                              | 2001 |    3.2 |        2061 |     2
 Et Dieu... créa la femme                                                            | 1956 |      3 |        1435 |     2
 Evan Almighty                                                                       | 2007 |    3.2 |      369422 |     2
 Evil Angels                                                                         | 1988 |    3.3 |        1554 |     2
 Eye for an Eye                                                                      | 1996 |      0 |           0 |     2
 Face/Off                                                                            | 1997 |    3.5 |       62348 |     3
 Fail-Safe                                                                           | 1964 |      0 |           0 |     2
 Failure to Launch                                                                   | 2006 |    3.2 |       86609 |     2
 Father of the Bride                                                                 | 1991 |    3.2 |       22336 |     2
 Faust: Love of the Damned                                                           | 2000 |      0 |           0 |     2
 Fever Pitch                                                                         | 2005 |      3 |       14004 |     2
 Filth and Wisdom                                                                    | 2008 |      3 |        1070 |     2
 Fire Down Below                                                                     | 1997 |    2.6 |        3327 |     2
 Five Easy Pieces                                                                    | 1970 |    3.9 |        4148 |     3
 Flash Gordon                                                                        | 1980 |    3.1 |        6492 |     2
 Flawless                                                                            | 2007 |    3.3 |        5982 |     2
 Flicka                                                                              | 2006 |    3.7 |       22360 |     2
 Flight of the Navigator                                                             | 1986 |      0 |           0 |     2
 Flight of the Phoenix                                                               | 2004 |      3 |        7566 |     2
 Flipper                                                                             | 1996 |    2.6 |        6086 |     2
 Flirting with Disaster                                                              | 1996 |    3.3 |        2127 |     2
 Foolish Wives                                                                       | 1922 |      0 |           0 |     2
 For the Bible Tells Me So                                                           | 2007 |    4.1 |        1345 |     2
 Frankenstein                                                                        | 1931 |    3.6 |        7211 |     2
 Frankie and Johnny                                                                  | 1991 |    3.2 |        4527 |     2
 Freaky Friday                                                                       | 2003 |    2.9 |       73112 |     2
 From Dusk Till Dawn                                                                 | 1996 |    3.4 |       36073 |     2
 Frozen River                                                                        | 2008 |    3.2 |        9338 |     3
 Funny Games U.S.                                                                    | 2007 |    3.2 |       16153 |     2
 Fun with Dick and Jane                                                              | 2005 |    3.2 |       80127 |     2
 F/X2                                                                                | 1991 |    2.8 |        1000 |     2
 Galaxy Quest                                                                        | 1999 |      3 |       19804 |     2
 Gangs of New York                                                                   | 2002 |    3.5 |       35768 |     2
 Gegen die Wand                                                                      | 2004 |      0 |           0 |     2
 Georgia Rule                                                                        | 2007 |      3 |       64056 |     2
 Get Carter                                                                          | 2000 |    2.5 |        4003 |     2
 Get Over It                                                                         | 2001 |    2.9 |        9761 |     2
 Getting Even with Dad                                                               | 1994 |    2.4 |        2200 |     2
 Gladiator                                                                           | 2000 |    3.8 |      248672 |     2
 Gloria                                                                              | 1999 |    2.7 |         660 |     2
 Godzilla                                                                            | 1998 |    2.6 |       17658 |     2
 Goldfinger                                                                          | 1964 |    3.6 |       22155 |     2
 Gone Baby Gone                                                                      | 2007 |    3.8 |       95109 |     2
 Gone in Sixty Seconds                                                               | 2000 |    3.5 |       92563 |     2
 Go West                                                                             | 1940 |      0 |           0 |     2
 Grease                                                                              | 1978 |    3.7 |      176349 |     2
 Great Expectations                                                                  | 1998 |    3.4 |       10607 |     2
 "Grey's Anatomy"                                                                    | 2005 |        |             |     2
 Grosse Pointe Blank                                                                 | 1997 |    3.7 |       17815 |     2
 Grumpy Old Men                                                                      | 1993 |    3.2 |       10489 |     2
 Gypsy                                                                               | 1962 |      0 |           0 |     2
 Hairspray                                                                           | 2007 |    3.9 |      382832 |     2
 Halloween                                                                           | 2007 |    3.3 |       79946 |     2
 Hamlet                                                                              | 1996 |    3.8 |        5816 |     6
 Händler der vier Jahreszeiten                                                       | 1971 |      0 |           0 |     2
 Hard Target                                                                         | 1993 |      0 |           0 |     2
 Harold & Kumar Go to White Castle                                                   | 2004 |    3.5 |       61100 |     2
 Heaven Can Wait                                                                     | 1943 |      0 |           0 |     2
 Heavenly Creatures                                                                  | 1994 |    3.7 |        8208 |     2
 Henry V                                                                             | 1989 |      4 |        3619 |     2
 High School Musical                                                                 | 2006 |      0 |           0 |     2
 High School Musical 3: Senior Year                                                  | 2008 |    3.6 |       80210 |     2
 Homeward Bound: The Incredible Journey                                              | 1993 |    3.2 |       15019 |     2
 Hot Fuzz                                                                            | 2007 |      4 |      177532 |     2
 House of Wax                                                                        | 2005 |    2.8 |       39495 |     2
 House on Haunted Hill                                                               | 1999 |    2.9 |       13288 |     2
 How Stella Got Her Groove Back                                                      | 1998 |    3.1 |        4439 |     2
 How the Grinch Stole Christmas                                                      | 2000 |    3.1 |       34926 |     2
 Huo Yuan Jia                                                                        | 2006 |      0 |           0 |     2
 Hush                                                                                | 1998 |    2.9 |        1448 |     2
 I Confess                                                                           | 1953 |    3.6 |        2474 |     2
 Il mio viaggio in Italia                                                            | 1999 |    3.9 |         769 |     2
 I, Madman                                                                           | 1989 |      3 |         387 |     2
 Impostor                                                                            | 2001 |      3 |        1418 |     2
 Impulse                                                                             | 2008 |      0 |           0 |     2
 In Cold Blood                                                                       | 1967 |    3.8 |        2614 |     2
 Incubo sulla città contaminata                                                      | 1980 |      0 |           0 |     2
 Indagine su un cittadino al di sopra di ogni sospetto                               | 1970 |    4.4 |         483 |     2
 Indiana Jones and the Kingdom of the Crystal Skull                                  | 2008 |    3.4 |      252104 |     2
 Indiana Jones and the Last Crusade                                                  | 1989 |    3.9 |      103952 |     2
 Indian Summer                                                                       | 1996 |    3.2 |         492 |     2
 Innocence                                                                           | 2004 |    3.7 |        1170 |     2
 Inside Man                                                                          | 2006 |    3.7 |       84980 |     2
 Insomnia                                                                            | 2002 |    3.2 |       18085 |     2
 Interview                                                                           | 2007 |    3.2 |       14637 |     2
 Interview with the Vampire: The Vampire Chronicles                                  | 1994 |    3.7 |       77706 |     4
 Into the West                                                                       | 1992 |    3.6 |         744 |     2
 Into the Wild                                                                       | 2007 |    4.2 |       82515 |     2
 Invasion of the Body Snatchers                                                      | 1956 |    3.6 |        3820 |     4
 Invincible                                                                          | 2006 |    3.6 |       34698 |     2
 I, Robot                                                                            | 2004 |      0 |           0 |     2
 Jane Eyre                                                                           | 2006 |        |             |     3
 Jaws                                                                                | 1975 |    3.5 |       63534 |     2
 Jeder für sich und Gott gegen alle                                                  | 1974 |      0 |           0 |     2
 Jerry Maguire                                                                       | 1996 |    3.3 |       32601 |     2
 Jersey Girl                                                                         | 2004 |    2.9 |       16772 |     2
 Joan of Arc                                                                         | 1999 |    3.1 |        8110 |     2
 Joe Dirt                                                                            | 2001 |    2.8 |       16165 |     2
 Joshua                                                                              | 2007 |    2.9 |       13913 |     2
 Journey to the Center of the Earth                                                  | 2008 |    3.2 |       38002 |     2
 Joy Ride                                                                            | 2001 |    3.1 |        9370 |     2
 Jui kuen II                                                                         | 1994 |    3.6 |        7905 |     2
 Kagemusha                                                                           | 1980 |    4.2 |        4005 |     2
 Kakushi-toride no san-akunin                                                        | 1958 |    4.1 |        6021 |     2
 Kansas City                                                                         | 1996 |      3 |         608 |     2
 Kicking & Screaming                                                                 | 2005 |      3 |       14260 |     2
 Kill Bill: Vol. 2                                                                   | 2004 |    3.8 |      162324 |     2
 Killer Movie                                                                        | 2008 |      0 |           0 |     2
 King Arthur                                                                         | 2004 |    3.2 |       57867 |     2
 King Kong                                                                           | 2005 |    2.8 |      207337 |     4
 King of Kings                                                                       | 1961 |    3.7 |         879 |     2
 King of New York                                                                    | 1990 |    3.7 |        5329 |     2
 King Solomon's Mines                                                                | 1950 |      0 |           0 |     3
 Kinsey                                                                              | 2004 |    3.4 |        6162 |     3
 Kiss of Death                                                                       | 1995 |    2.9 |        2125 |     2
 Kronos                                                                              | 1957 |      0 |           0 |     2
 La boum                                                                             | 1980 |        |             |     2
 La decima vittima                                                                   | 1965 |      0 |           0 |     2
 La double vie de Véronique                                                          | 1991 |    4.3 |        5676 |     2
 La faute à Fidel!                                                                   | 2006 |    4.1 |        2344 |     2
 La môme                                                                             | 2007 |    3.8 |          33 |     3
 Last Chance Harvey                                                                  | 2008 |    3.2 |       14302 |     2
 Last Days                                                                           | 2005 |    3.1 |        5692 |     2
 Last Night                                                                          | 1998 |    3.8 |        1691 |     2
 Lean on Me                                                                          | 1989 |    3.7 |        5235 |     2
 Lemony Snicket's A Series of Unfortunate Events                                     | 2004 |    3.2 |       60437 |     2
 Léon                                                                                | 1994 |    4.1 |       59011 |     2
 Les misérables                                                                      | 1998 |    3.6 |        7310 |     2
 Les poupées russes                                                                  | 2005 |    3.6 |        8145 |     2
 Les triplettes de Belleville                                                        | 2003 |      0 |           0 |     2
 Lethal Weapon                                                                       | 1987 |    3.6 |       33975 |     2
 Letters from Iwo Jima                                                               | 2006 |    3.8 |       73433 |     2
 Little Miss Marker                                                                  | 1934 |        |             |     2
 Little Women                                                                        | 1994 |      0 |           0 |     3
 Live Free or Die Hard                                                               | 2007 |    3.9 |     1145097 |     2
 Lola                                                                                | 1981 |    3.9 |         529 |     2
 Lolita                                                                              | 1962 |    3.7 |       11593 |     2
 Lord of the Flies                                                                   | 1990 |    3.1 |        6608 |     2
 Lord of War                                                                         | 2005 |    3.6 |       51125 |     2
 Loser                                                                               | 2000 |    2.6 |        5745 |     2
 Love Affair                                                                         | 1994 |    3.5 |        1260 |     2
 Love and a Bullet                                                                   | 2002 |      0 |           0 |     2
 Lucky Number Slevin                                                                 | 2006 |      0 |           0 |     2
 Mac and Me                                                                          | 1988 |    2.7 |        2264 |     2
 Man of the House                                                                    | 2005 |    3.1 |       10877 |     2
 Man of the Year                                                                     | 2006 |      3 |       29127 |     2
 Man on Fire                                                                         | 2004 |    3.9 |       67139 |     2
 Man on the Moon                                                                     | 1999 |    3.3 |       15027 |     2
 Match Point                                                                         | 2005 |    3.4 |       41276 |     2
 M. Butterfly                                                                        | 1993 |      0 |           0 |     2
 Meet the Parents                                                                    | 2000 |    3.6 |      119331 |     2
 Me, Myself & Irene                                                                  | 2000 |    3.1 |       39953 |     2
 Men with Guns                                                                       | 1997 |    3.9 |         476 |     2
 Metropolis                                                                          | 1927 |    4.1 |       17640 |     2
 Miami Vice                                                                          | 2006 |    2.8 |       55637 |     2
 Michael Clayton                                                                     | 2007 |    3.6 |      123924 |     2
 Midnight Cowboy                                                                     | 1969 |    3.9 |        8994 |     3
 Mighty Joe Young                                                                    | 1998 |    2.8 |       10755 |     2
 Milk                                                                                | 2008 |    3.9 |       55245 |     2
 Miracle at St. Anna                                                                 | 2008 |    3.3 |        8435 |     2
 Miracle on 34th Street                                                              | 1947 |    3.5 |        5409 |     2
 Missing in Action 2: The Beginning                                                  | 1985 |      0 |           0 |     2
 Mission: Impossible III                                                             | 2006 |    3.3 |       86328 |     2
 Mixed Nuts                                                                          | 1994 |    2.9 |        2410 |     2
 Modern Times                                                                        | 1936 |    4.2 |        9563 |     2
 Mona Lisa Smile                                                                     | 2003 |    3.1 |       23577 |     2
 Monkey Business                                                                     | 1931 |      0 |           0 |     2
 Moulin Rouge!                                                                       | 2001 |    3.7 |      110817 |     2
 Movie Crazy                                                                         | 1932 |      0 |           0 |     3
 Mr. & Mrs. Smith                                                                    | 2005 |    3.4 |      230941 |     2
 Mujeres al borde de un ataque de nervios                                            | 1988 |      4 |        6254 |     2
 Mutiny on the Bounty                                                                | 1935 |    3.7 |        1846 |     2
 My Best Friend's Wedding                                                            | 1997 |    3.3 |       64013 |     2
 My Bloody Valentine                                                                 | 2009 |    3.1 |      111307 |     2
 My Darling Clementine                                                               | 1946 |    3.8 |        1741 |     2
 My Girl                                                                             | 1991 |    3.5 |       29984 |     2
 My Life Without Me                                                                  | 2003 |      0 |           0 |     2
 Mystery, Alaska                                                                     | 1999 |    3.2 |        4196 |     2
 National Treasure: Book of Secrets                                                  | 2007 |    3.6 |     1237906 |     2
 Natural Born Killers                                                                | 1994 |    3.5 |       39062 |     3
 Ned Kelly                                                                           | 2003 |    3.2 |        7741 |     2
 Never Say Never Again                                                               | 1983 |    3.1 |        7414 |     2
 Niagara                                                                             | 1953 |      0 |           0 |     2
 Night of the Living Dead                                                            | 1968 |    3.7 |       26113 |     2
 Night of the Zombies                                                                | 1981 |      0 |           0 |     2
 Nineteen Eighty-Four                                                                | 1984 |    3.5 |       17133 |     2
 Nirgendwo in Afrika                                                                 | 2001 |      4 |        1773 |     2
 Nobody's Fool                                                                       | 1986 |      3 |         289 |     2
 Nochnoy dozor                                                                       | 2004 |    3.3 |       19774 |     2
 No Man's Land                                                                       | 2001 |    4.1 |        3608 |     2
 No Mercy                                                                            | 1986 |    2.8 |         740 |     2
 Nora inu                                                                            | 1949 |      0 |           0 |     2
 North Country                                                                       | 2005 |    3.5 |       14739 |     3
 Notes on a Scandal                                                                  | 2006 |    3.7 |       22200 |     2
 Nothing to Lose                                                                     | 1997 |    3.1 |        5245 |     3
 O Brother, Where Art Thou?                                                          | 2000 |    3.7 |       35122 |     2
 Ocean's Eleven                                                                      | 2001 |    3.6 |      185259 |     2
